Station,StationDescription,CBSeg2003,CBSeg2003Description,CBSegmentShed2009,CBSegmentShed2009Description,HUC8,HUC12,FIPS,State,CountyCity,USGSGage,FallLine,Latitude,Longitude,UTMX,UTMY,LLDatum
"01594440","(NTN) Patuxent River Near Bowie; Md","NTGISS","NonTidal Station Outside of Segment Coverage","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060402","24003","MD","Anne Arundel","01594440","A",38.95583,-76.69333,353275,4313238,"NAD83 "
"LE1.1","Mid-Channel; Ssw Of Jack Bay Sandspit And Northeast Of Sandgates; Characterizes Lower Estuarine","PAXMH ","Patuxent River-Mesohaline Region",,,"02060006","020600060602","24009","MD","Calvert",,"B",38.42535,-76.60176,360181,4254225,"NAD83 "
"LE1.2","Mid-Channel 1600 Meters; Southwest Of Patersons Point; Characterizes Lower Estuarine","PAXMH ","Patuxent River-Mesohaline Region",,,"02060006","020600060603","24037","MD","Saint Marys",,"B",38.37887,-76.51132,367992,4248933,"NAD83 "
"LE1.3","Mid-Channel 1200 Meters Due North Of Point Patience; Ene Of Half Pone Point; Characterizes Lower Estuarine","PAXMH ","Patuxent River-Mesohaline Region",,,"02060006","020600060604","24037","MD","Saint Marys",,"B",38.33980,-76.48490,370230,4244560,"NAD83 "
"LXT0200","(NTN) Little Patuxent River At Guilford; Md","NTGISS","NonTidal Station Outside of Segment Coverage","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060202","24027","MD","Howard","01593500","A",39.16775,-76.85125,340070,4337024,"NAD83 "
"MTI0015","Mataponi; This Station Falls Outside The Segment Coverage But Is In This Salinity Range","NGISS ","Tidal Station No GIS Segment","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060502","24033","MD","Prince Georges",,"B",38.74332,-76.70744,351612,4289677,"NAD83 "
"PXT0311","King's Landing","PAXOH ","Patuxent River-Oligohaline Region",,,"02060006","020600060506","24009","MD","Calvert",,"B",38.62630,-76.67680,354037,4276641,"NAD83 "
"PXT0435","Upper Patuxent River","PAXTF ","Patuxent River-Tidal Fresh Region",,,"02060006","020600060502","24003","MD","Anne Arundel",,"B",38.75710,-76.69930,352348,4291193,"NAD83 "
"PXT0455","Jug Bay","PAXTF ","Patuxent River-Tidal Fresh Region",,,"02060006","020600060502","24003","MD","Anne Arundel",,"B",38.78128,-76.71370,351147,4293899,"NAD83 "
"PXT0809","Patuxent River At Gage Station Below Rocky Gorge Dam; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060401","24033","MD","Prince Georges",,"A",39.11680,-76.87493,337907,4331411,"NAD83 "
"PXT0972","(NTN) Patuxent River Near Unity; Md","NTGISS","NonTidal Station Outside of Segment Coverage","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060101","24027","MD","Howard","01591000","A",39.23931,-77.05619,322544,4345348,"NAD83 "
"RET1.1","Mid-Channel; 5000 Meters Ene Of Long Point; Characterizes Transition Zone","PAXMH ","Patuxent River-Mesohaline Region",,,"02060006","020600060601","24037","MD","Saint Marys",,"B",38.49090,-76.66429,354854,4261595,"NAD83 "
"TF1.0","From Upstream Side Of The Md Route 50 Bridge; Usgs Gage No. 59440; Characterizes Fresh Zone","NGISS ","Tidal Station No GIS Segment","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060402","24033","MD","Prince Georges",,"B",38.95557,-76.69411,353207,4313210,"NAD83 "
"TF1.2","(NTN) Western Branch At Upper Marlboro; Md","NGISS ","Tidal Station No GIS Segment","WBRTF     ","Western Branch-Tidal Fresh Region","02060006","020600060304","24033","MD","Prince Georges","01594526","B",38.81430,-76.75087,347988,4297625,"NAD83 "
"TF1.3","Mid-Channel From Md Route 4 Bridge Near Waysons Corner; Characterizes Tidal Fresh Zone","PAXTF ","Patuxent River-Tidal Fresh Region","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060403","24033","MD","Prince Georges",,"B",38.81092,-76.71227,351332,4297187,"NAD83 "
"TF1.4","West Shore From Main Pier At Jackson Landing; Characterizes Tidal Fresh Zone","NGISS ","Tidal Station No GIS Segment","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060502","24033","MD","Prince Georges",,"B",38.77302,-76.70927,351514,4292976,"NAD83 "
"TF1.5","Mid-Channel At Nottingham; Characterizes Tidal Fresh Zone","PAXTF ","Patuxent River-Tidal Fresh Region",,,"02060006","020600060502","24009","MD","Calvert",,"B",38.71012,-76.70146,352063,4285983,"NAD83 "
"TF1.6","Mid-Channel Off Wharf At Lower Marlboro; Characterizes Transition Zone","PAXOH ","Patuxent River-Oligohaline Region",,,"02060006","020600060504","24033","MD","Prince Georges",,"B",38.65845,-76.68381,353492,4280220,"NAD83 "
"TF1.7","Mid-Channel On A Transsect Of Approximate 115 Degree From Jack's Creek; Characterizes Transition Zone","PAXOH ","Patuxent River-Oligohaline Region",,,"02060006","020600060506","24033","MD","Prince Georges",,"B",38.58211,-76.68101,353581,4271744,"NAD83 "
"WXT0001","Midstream At Mt. Calvert House In Upper Marlboro; Western Branch; Patuxent; Characterizes Tidal Fresh Zone","WBRTF ","Western Branch-Tidal Fresh Region","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060304","24033","MD","Prince Georges",,"B",38.78538,-76.71343,351179,4294354,"NAD83 "
"WXT0013","Iron Pot Landing","WBRTF ","Western Branch-Tidal Fresh Region","PAXTF     ","Patuxent River-Tidal Fresh Region","02060006","020600060304","24033","MD","Prince Georges",,"B",38.79600,-76.72080,350561,4295545,"NAD83 "
"XCF9029","Chesapeake Biological Lab","PAXMH ","Patuxent River-Mesohaline Region",,,"02060006","020600060604","24009","MD","Calvert",,"B",38.31670,-76.45260,373012,4241952,"NAD83 "
"XDD9298","Lower Patuxent River","PAXMH ","Patuxent River-Mesohaline Region",,,"02060006","020600060601","24037","MD","Saint Marys",,"B",38.48700,-76.67030,354322,4261172,"NAD83 "
"XDE4587","Pin Oak","PAXMH ","Patuxent River-Mesohaline Region",,,"02060006","020600060603","24009","MD","Calvert",,"B",38.40880,-76.52180,367131,4252270,"NAD83 "
"XED0694","Benedict","PAXMH ","Patuxent River-Mesohaline Region",,,"02060006","020600060601","24017","MD","Charles",,"B",38.51040,-76.67730,353759,4263780,"NAD83 "
"XEE1502","Upper Patuxent River","PAXMH ","Patuxent River-Mesohaline Region",,,"02060006","020600060507","24017","MD","Charles",,"B",38.52530,-76.66400,354948,4265412,"NAD83 "
"XEE3604","Upper Patuxent River","PAXOH ","Patuxent River-Oligohaline Region",,,"02060006","020600060506","24009","MD","Calvert",,"B",38.56050,-76.66050,355324,4269313,"NAD83 "
"XFD1283","Upper Patuxent River","PAXOH ","Patuxent River-Oligohaline Region",,,"02060006","020600060504","24009","MD","Calvert",,"B",38.68630,-76.69580,352506,4283330,"NAD83 "
"01608500","(NTN) South Branch Potomac River Near Springfield; Wv","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070001","020700010609","54027","WV","Hampshire","01608500","A",39.44694,-78.65444,185514,4372752,"NAD83 "
"01595300","(NTN) Abram Creek At Oakmont; Wv","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020204","54057","WV","Mineral","01595300","A",39.36666,-79.17917,139930,4365803,"NAD83 "
"01604500","(NTN) Patterson Creek Near Headsville; Wv","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020708","54057","WV","Mineral","01604500","A",39.44306,-78.82222,171053,4372921,"NAD83 "
"BDK0000","Braddock Run Us 40 And Braddock Station Bridge; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020507","24001","MD","Allegany",,"A",39.67048,-78.79081,174823,4398057,"NAD83 "
